Title,Date,Rating,Comments
FORD V FERRARI,24 November 2019,9/10,"The movie is really good overall. The sound and music were well put together, and the effects looked perfect. Without a doubt this is one of the best racing movies in my opinion."
FORD V FERRARI,21 February 2020,2/10,"Yes it is entertaining. But sooo cheesy. So corny. Really sick of cheesy American heroism movies. ""Lets go to war against Europe?"" really??? Why you would even remind about World War 2 in some racing car movie? Is it not enough millions of movies every year about a war? Can you leave this brainwashing, cheesy American patriotism out of racing movie"
FORD V FERRARI,28 November 2019,10/10,"Cant say anything. It was just perfect.
I looooved it."
FORD V FERRARI,5 December 2019,10/10,"They should do a Sequal about the accomplishments that Carroll Shelby did later until he cross the river, like he used to say
I own the Last car built by Carroll Shelby, that beat Ferrari. . GT350- R Concept. Built by Shelby and Ford racing Team to beat modern Supercars in 2011.
After they won, They interview Carrol, he said... I'm so happy, I am ready to cross the River........
Months later, the Legendary Carroll Shelby Passed Away.
If they do a sequel, that would be a great ending. Carroll on the track, doing what he loves. Beating Ferrari one last time. The image freezes. Letters come out on top...... Months later........ the Legendary Carroll Shelby passed. Away. He did what he loved til the end....."
FORD V FERRARI,14 April 2020,10/10,It'sa nice movie. I have never seen this type of race movie in my entire life.
FORD V FERRARI,24 November 2019,10/10,"Just back from Cinema and I'm soo Glad I experienced this Full on ""Pedal to the Metal"" movie masterclass on the Big Screen...An absolute gem of a film. Hat's off to Christian Bale (again) and Matt Damon.. Totally engaged emotionally with their story characters and their relationship.. I genuinely cant recommend this enough.. Jump in and enjoy the ride.."
FORD V FERRARI,5 December 2019,10/10,I love this movie from first minute. Amazing acting and chemistry between Mat and Bale. i lost trust that the American Cinema will come with amazing movie but here we are with this masterpiece. i think this will own Oscar.
FORD V FERRARI,21 September 2019,3/10,"It's not easy to make car racing look interesting on film, as shots of cars going around corners and faceless drivers shifting gears start to feel pretty repetitive. Though the many scenes of fast driving do add some adrenaline, the film has to rely on a dramatic arc that hinges on the possibility of building a fast car and getting the right driver. Unfortunately this dilemma advances all too predictably, and features static characters in cookie-cutter relationships that feature no real tension and no development whatsoever. The characters are drawn well enough to elicit a few laughs at unexpected juxtapositions, but mostly they just go through the motions, and we literally hear the same overblown lines at the end of the film as we do at the beginning, as though the film wanted to remind viewers that nothing actually happens in between. Some nice period touches and decent turns by some supporting actors working with limited material demonstrate that the filmmakers were at least trying, but the flat relationships and tepid dialog keep things moving at a snooze. Maybe watch it on an airplane if there's nothing better?"
FORD V FERRARI,7 February 2021,10/10,"Bales performance should have gained him an Oscar. The intensity of racing was written on his face during the racing scenes. Matt Damon's role was the excellent cool counter weight to Bale and also an Oscar level performance. The other supporting actors finished it off in fine form. The writing and direction were right there, as well. Can watch this movie over and over."
FORD V FERRARI,8 August 2020,9/10,"Real story , amazing acting ( specially Christian Bale) , best movie in 2019 and that car's... mann
Everyone needs to watch this movie !!!"
FORD V FERRARI,22 November 2019,10/10,No flaws. Everything is perfect. I would watching it again and again
FORD V FERRARI,18 November 2019,9/10,It is great but it could have been shorter. Also Ken's death is sad.
FORD V FERRARI,4 December 2019,9/10,"I must say, this is a movie that holds a perfect plot execution. Trust me, I watched a couple of true story based movies and not all of them succeed to deliver a fresh product while being 'a copy of something that happened in the past'. But Ford v Ferrari? The movie just nailed it. There's some kind of seasoning that the actors' performances and the movie itself added which makes every scene enjoyable, rather than a dull plus boring one.The performances of Bale and Damon, I don't have to say much. Their qualities are above all, especially Bale who had always played his role leaving a unique impression on the audience. This movie was another example of his fine work.So, whether you're a racing fan or not, Ford v Ferrari will always be an enjoyable offer even for the muggles. 9/10 for a masterpiece!"
FORD V FERRARI,24 November 2019,9/10,It's a story about two people and two star companies in automobiles. How life is full of ups and downs have shown in movie a great way. Some shots will give real adrenaline rush. Totally worth watching.
FORD V FERRARI,17 November 2019,9/10,"Simply put, I LOVE this movie. Bale and Damon are next level, Mangold's direction is at his best, and the supporting cast is brilliant. If you do not know the story before going in, DO NOT RESEARCH. This was a story I had no idea about before hand and it blew my mind watching it unfold. If I have maybe 2 flaws, I wish some sympathy could have been put on Ferrari, as they seem like the stereotypical ""bad guy"" in the movie, and the 2nd half-hour does drag just smidge. Overall, in the words of Christian Bale's Ken Miles-- ""It's bloody brilliant!"""
FORD V FERRARI,26 January 2020,9/10,Movie that leaves you out of breath till the end.😎
FORD V FERRARI,17 May 2020,7/10,This movie is fun to watch. Only I wouldn't watch it again. It is better than the average movies though it is not the greatest.
FORD V FERRARI,15 November 2019,10/10,"I was at the Philadelphia Film center premiere on 11/11/19 to view this terrific movie. At the age of 68 and a tifoso of Ferrari since age 8, ( 1959 ), this movie hit a nerve. Truth vs Fiction. This was a David vs Goliath movie, however Goliath wins. The movie recreates a golden era of auto Racing. It was seriously dangerous with death and injury a guarantee at every race. These drivers were absolute warriors and we're fearless. Now Ferrari winning LeMans six straight years in a row from 1960-1965 is actually the David in this movie. Ferrari for all their dominant winning form was still a tiny company that sold fancy $15,000 sportcars to support his racing team. Winning LeMans was a $16,500 team prize. These Ferrari drivers were salaried. The prototype class at that time was wide open with no upper limit on engine size. There was an under 2 liter class that Porsche and Ferrari dino control, but the over 2 liter was unlimited. I read carefully about the Ford move to acquire Ferrari, as daily news reports would cross the associated press. The movie is spot-on about Ford cars lacking desire back then. Chevrolet had the Corvette, Corvair and sporty looking Impala and Chevelle. Now Ford is the Goliath in this movie. They are the big corporate giant with unlimited resources. Ford paid for the Ford GT. It was really a Lola Gt with a Ford badge put on it. Ford put their name on every innovation provided by all the racing/equipment suppliers that went into that race car. Unlike Ferrari being designed, engineered and built handmade in that Italian factory. Ford spent more money on developing a racecar than the total price to buy Ferrari outright. Hired every Nascar team to provide expert pit crews, engine builders and offered 80,000-100,000 to each driver for one race . Now the movie, it's a movie that non race cars fans can and will enjoy. It shows how Shelby and Miles are really the heroes of the winning team. This was true. Their relationship is spot on in the movie and they know what is needed to win. They battle off the track against Ford executives and against Ferrari on the track. What is not disclosed in the movie is the quitting of the Ferrari ace driver John Surtees. When he left Ferrari, the team was devastated. He along with Ford's Ken Miles were two true warriors. Also not shown but lightly covered in the movie is the three years of disastrous outing for the Ford racing team. Did Shelby steal the Ferrari pits stop watches? Did Shelby actually throw spear lug nuts into the Ferrari pit lane to make the Ferrari pit crew think that the race car was missing a nut on the car out on the track? Did Enzo Ferrari actually tip his hat to honor Ken Miles? Who really knows. Everybody is dead. I remember the lug nut rumour in the 1960s, as that was a southern stock car trick. I never heard about the theft of Ferrari stop watches by Shelby. As far as Ferrari tipping his hat. Ferrari was known for or not attending many races. All that aside, did I as a Ferrari fan enjoy this movie. My answer is a Yes, Yes, Yes. With the exception of James Garner in Grand Prix, this is the best movie to deal with the sport of autoracing. Bonus is that it is also a great human interest story and they create the mood of the sixties as U vividly remember it. I rate this movie a ten and should be nominated for Oscars."
FORD V FERRARI,16 November 2019,9/10,"Went into this movie knowing almost nothing at all. I knew the two main actor, Christian bale and Matt Damon and that it was a true story about a race between Ford Vs Ferrari in a le mans 1996 race but I had no idea what happened or how it went down! However this movie was amazing for me and it told a story which was oh so much more than just a race. The chemistry between the two load roles were fantastic and really shined through, not even scared to say I may of shed a little tear during this movie! Defitnaly worth a watch for anyone who wants to be inspired."
FORD V FERRARI,19 November 2019,8/10,"I hadn't watched any movies of its kind before, and just saw it a couple of days ago. The acting was great, but a couple lines could've been better. The action was phenomenal, with some very intense and thrilling moments. The sound and soundtrack was very immersive, and really helped the movie out as a whole. The only other complaint I have is that one of the antagonists was very 'cookie-cutter', had quite a few bad lines.All around a fun and exciting experience."
FORD V FERRARI,17 November 2019,6/10,"ALMOST everything about this movie was so good. The acting, the dialogue, the sound design, the cars! It also just looks so beautiful. Whatever is shown on screen matches with the tone at all times, and the colours are gorgeous throughout. The sound track was also really good, especially during the race, and the race scenese had clutching my palms the entire time.The thing is, though, the story is just so weak! To me, the ending is just super depressing without reason. A tragic ending like that should feel deserved, but it didn't. If the movie ended with Miles losing first place, it would been a bittersweet ending, but I felt like they had to just shove his death in there. (Why is there a major plot point in the falling action?) I usually get so emotional during movies, but I literally felt nothing here.They changed the story so much already, couldn't they have just changed it a lil' more to make narrative sense? I really wanted to like it because I'm such a big fan of the actors, but the more I thought about the story, the less sense it made to me."
FORD V FERRARI,17 November 2019,10/10,"I loved it, that chemistry between Damon and Bale was fantastic. If you like cars and races this is a grail."
FORD V FERRARI,17 November 2019,9/10,"By far the best racing movie in decades!! The racing scenes are incredible and the acting is award worthy. Being a dihard car guy, I believe I noticed a slight flaw in one scene, which is the only reason I didn't give it a 10 out of 10 rating. During an early race scene (1963?) it showed several Corvettes competing, however one of them had a 1967 stinger hood. Anyway, since I'm planning on going a second time, I'll keep an eye out for it and correct my review if I was wrong =)"
FORD V FERRARI,17 November 2019,10/10,This movie is a roller coaster ride from start to end it will bind you. Christian Bale is outstanding in this movie. Matt Demon and Christian Bale steals the show. Go for it a must watch for everyone.
FORD V FERRARI,18 November 2019,10/10,"It's been a long time since I went to a movie that was so good it stayed with me for days. I, being a automotive enthusiast knew this story well yet the outcomes of the story still brought a tear to my eye. So well played. Nice that so many real cars were used and so accurately. It would seem Steve McQueen's Le mans would have been like this is if it was done today."
FORD V FERRARI,18 November 2019,9/10,"If you like cars, this is a must see! It was also fun to watch Jason Bourne and Batman fight each other."
FORD V FERRARI,19 November 2019,9/10,"This is a great movie with incredible race sequences and acting by the 2 leads - Christian Bale and Matt Damon. The sound effects are really awesome, please do go and watch this movie !!"
FORD V FERRARI,21 November 2019,10/10,"Decided to make an account and write this review just because how much I liked the movie, the acting was spot on and so was the cinematography.
watch the movie, you won't regret it."
FORD V FERRARI,24 November 2019,10/10,"Incredible. Oscar worthy. The best movie on automobile competition with intense racing sequences and heart throbbing soundtracks. And last but not the least, incredible acting. 10 out of 10"
FORD V FERRARI,25 November 2019,10/10,"Finally a good movie in the last many many many years. Great camera, great actors, great scenes, great dialogues, and incredible chemistry all around. Damon is great as per usual, Bale carried it our fantastically. Warm, sad, brilliant, passionate movie. Just go and watch, no need to review it."
FORD V FERRARI,29 November 2019,10/10,"In my opinion Ford v Ferrari is a masterpiece, it is the first movie to ever make me cry and it is my new favorite movie."
FORD V FERRARI,30 November 2019,10/10,"The movie was hust great
I was in an awe of the way both christian bale and matt damon portrayed the charred
It was a balanced mix of action, drama, and comedy
The driving scenes were breath taking as wellI can say i just enjoyed each and every minute of it"
FORD V FERRARI,1 December 2019,8/10,"""High speed's and thrilling bumper to bumper sequences aren't the only things this movie has to offer. With it's touching bromance and charismatic characters Ford v Ferrari is an homage to the truly great Hollywood films of old, as it brings to life a great cinematic representation of one of racings most historical events and truly becomes a must see for everyone.""On the surface, Ford v Ferrari is portrayed as a touch and go film for motoring enthusiasts, but after seeing the film that couldn't be further from the truth. Director James Mangold who's name is widely appreciated after films such as Logan and 3:10 to Yuma has really proven to the audience racing films are no longer just for a certain audience, but can be enjoyed by all in this exhilarating biopic. The movie really stands out through its main characters' bromance between Carroll Shelby and Ken Miles played by Matt Damon and Christian Bale, delivering some of their best acting yet.The movie opens up with Matt Damon's Carroll Shelby winning the grueling 24 Hours of Le Mans in 1959 for the Aston Martin team before explaining that the victory was short-lived, as Shelby's racing career comes to an end due to heart complications. After being forced into retirement Shelby focusses on his vehicle design and sales career whilst at the same time the audience is introduced to the big boss of Ford: Henry Ford II played tremendously by Tracy Letts. This scene sets up the entire drive of the film as the big boss explains to all of his working staff that ford is coming to an end at the hands of bad business and poor vehicle manufacturing leading to Fords diminishing reputation. From here the movie kicks into gear as the idea of buying out Ferrari runs across Henry Ford from the marketing man Lee Lacocca (Jon Bernthal), but goes south and a rivalry is born as Ford wishes to beat Enzo Ferrari (Remo Girone) at his own game. At the 24 hours of Le Mans, which Ferrari has dominated over the years.Matt Damon produces one of his best performances throughout his acting career within this film. Showing the audience a very likable, charismatic and enthusiastic Carroll Shelby who will stop at nothing to overcome the challenge laid out to him by ford. Another nice addition to this film is Ken Miles' wife Molly (Caitriona Balfe), who stands out as a badass in her own right as she knows what makes Ken really shiver in his boots, and in one great scene really makes the soon to be famous racing driver crap his pants. This movie holds a plethora of great characters and fantastic acting that will definitely have the academy keep a keen eye out heading forward towards the Oscars.Another fantastic outline within this film is its score composed by Marco Beltrami and Buck Sanders which really captures the feeling of racing, from the intense drumming and guitar riffs to the loud trumpets of victory the score doesn't feel the slightest out of place as it sticks to the instrumentals that you would find in such a time period.As much as this film is great there are some flaws that audience members will definitely take away with them. One glaring flaw is this films run time clocking in at two hours and thirty-two minutes. The film at some instances does feel like it begins to drag on a little, but this does thankfully become resolved as once the boredom begins to settle in it shoots back up to a thrilling pace which does seem to be great, but maybe a cutback on some of the more slower scenes would really help this film shine more within the audience. Another glaring flaw I noticed wasn't necessarily the movie itself, but it's marketing. The marketing seems to highlight one thing and one thing alone, and that is it's a car film. I understand yes it is essentially a car-based film, but it is also so much more with a great narrative about true success and fighting for a goal as well as just what it means to show fantastic sportsmanship. However, most of these highlights within the film are overshadowed within the trailers and previews with just racing which leads to only one certain audience really discussing this film, that audience being motor enthusiasts when in reality this movie is for everyone.And finally, we come to the verdict of this film. As much as I enjoy this film I understand that people have differing opinions so instead of giving out a solid number out of ten I will leave a quick overview so you can decide whether to see the film for yourself. This is a high stake sports film with intense scenes and loveable characters that show great development as the story goes on. The film has an enigmatic score and really captures the feeling of racing in the 60's that really puts you on the edge of your seat as the characters resonate with the audience making this experience something amazing.Written by:
Ivan Dorich"
FORD V FERRARI,2 December 2019,8/10,"Indeed a watch worth the wait. Nail-biting drama and an out-and-out edge-of-the-seat experience one could possibly want in a Christian Bale and Matt Damon starrer. And the sound effects!!!! Gosh!!! Truly exhilarating and fascinating work of art displayed by the sound design team. Perhaps watching it in IMAX just added to the experience tenfold. Bale was as stupendous as could be; possibly one of the best we've seen him in in quiet a while. Damon was no less astounding in his own right.
It won't be wrong to say that one of its greatest technical achievements lies in the fact that you don't necessarily have to be a ""car-guy"" to be able to commend this marvel. Another commendable fact was that despite being based on a true story, it had us giving a slight feeling of unpredictability at points, which was, in fact, a sight to behold. Also, in spite of being a tad bit long, it never even seemed to lose grip of the plot.The monstrous sound of the roaring engines could be felt throughout the entirety of the theatre, so even if a ""non-car-guy"" feels bored, these blaring sounds won't let him sleep. The final act was a bit of a let-down which was not what I expected to be the outcome.
All-in-all a feature rife with intensity, emotions, breakdowns (technical and emotional) and an over-the-top sound design which suffices for an individual to enable him to say that he is a member of such a cinephilic community that prides itself on being able to witness such level of filmmaking. Long live cinema!!!"
FORD V FERRARI,9 December 2019,10/10,"This movie is going down as one of those classics that never let you down. They got the action right , they got the history right ! A truly mesmerising watch for the petrol heads."
FORD V FERRARI,7 December 2019,9/10,"Bale (Driver) and Damon (Car designer) spun magic on the viewers with their tremendous chemistry, stellar performance which seems very real ! Bale's acting requires a special mention which seems to make the movie even more top class ! Great story and portrayal .. The cars roaring on the tracks will linger for sometime .."
FORD V FERRARI,9 December 2019,1/10,"I gave this a 1 start because of the historical inaccuracies. It would seem that a large part of their target audience would be race fans, and I hope they'd know this history. Just a couple of points ... it took Ford 3 years (not 2) to beat Ferrari, and, Shelby America came up with a system for changing brakes without changing the whole front suspension (which isn't what they showed in the movie). Sure, they changed out the caliper, but the rotor and caliper, and that was it. This seems like making a movie about the moon landing and claiming Apollo 10 got their first. If you're going to make this movie, get the facts straight."
FORD V FERRARI,11 December 2019,10/10,"After Rush, became one of the best films I've ever seen. I definitely recommend you to watch."
FORD V FERRARI,12 December 2019,9/10,What a revelation and so refreshing to watch a film where Hollywood tells a story close to the truth and has a Brit who is the (joint) hero.
FORD V FERRARI,28 December 2019,9/10,"A superior racing movie with friendship at its core.At the very beginning you will sense an amazing chemistry between two main actors,surely an Oscar winning potential for both Bale and Damon.
Movie has really mesmerising and energy-filled racing scenes that will make you feel like driver itself going through all the difficulties
of driving at highest possible speed.
A truly wonderful experience,for racing fans and non-racing also,nicely paced with right humour,smartly structured dialogues and atmosphere that will instantly drag you in!"
FORD V FERRARI,31 December 2019,10/10,"First of all Happy New year 2020 everyone...we've entered the New decade and this is the first thing I'm doing...writing my first review for the last movie I watched in the 2010s...this movie is a MASTERCLASS in filmmaking...the performances,the direction,the score and screenplay is all perfect...this movie is 2.5 hrs long but doesn't bore you for a single minute...this will always have a special place in my heart!"
FORD V FERRARI,19 January 2020,9/10,"Yes indeed, I say it; as good as ""Rush"" (the rivalry between Hunt and Lauda). This movie focuses on the rivalry between Ford and Ferrari. And focuses even more on the deal between Carroll Shelby and Mr. H. Ford II. And the driver/mechanic of one of the cars during Le Mans in 1966: Ken Miles.Christian (Bale) and Matt (Damon) are portraying there characters really well. I didn't know that Bale was British, now I know. But either way, every character in the film is believable. The story - based upon real life, so not completely accurate - is entertaining and comes close to the real deal.If you are looking for the real story of the race (and the events towards that) this ain't the movie for you, because it's a movie and not a documentary. And the movie needs to entertain the crowd that is coming towards this piece. So who should watch it ? Autosport fans for sure, Endurance fans absolutely (like myself), car enthusiasts perhaps - depending on which car-class(es).The way they set the whole vibe (I was instantly back at my first trip to Le Mans (2012)). The way they show you the track and the rivalry, and the cars. It's really an awesome movie. Just like Rush. Yes Rush was more about the race, but had also a story but a bit thinner then this one. The story isn't a big one in this one, but it's there. And if you expect a Rush look-a-like you will be sad, so expect more story !I will definitely get this on DVD."
FORD V FERRARI,18 February 2020,10/10,Watching it a second time even though I only rented it because of the Oscar nominations. It simply is the full experience of all you could want in a movie.
FORD V FERRARI,13 January 2020,10/10,"A great movie pretty much in tune with the real story! This is how movies should be made, this had everything except a happy ending of course and it states out the reality of the world."
FORD V FERRARI,14 January 2020,10/10,I created the account only for the review. Title says it all.
FORD V FERRARI,21 January 2020,10/10,"However I am a big fan of Fantastic movies( especially Marvel movies). This movie so inspired me. It has perfect acting and the perfect made scenes which makes Oscar movie especially when Kenn beats his own record ( which shocked Enzo ferrari) it gives the audience excitement as you won the race on your own. But when you know that Kenn loses the race you get so angry .
For me this movie beat both "" Avengres: Endgame"" and ""Joker""."
FORD V FERRARI,23 January 2020,10/10,"Fast and Furious, no not the movie, the two words that best describe James Mangolds newest project, Ford V Ferrari. On the outside, Ford V Ferrari may seem like your run of the mill racing movie with a simple plot, but after watching you realize that it is much more than that. You see obsession, tension, and an overarching rivalry between The Ford Motorcompany and Ferrari. Henry Ford II (Tracy Letts), shows a compulsive behavior that radiates to those around him, he feels a need to win. For a chance at winning the 1966 24 Hours at Le Mans, Ford recruits Carol Shelby (Matt Damon), who then brings in Ken Miles (Christian Bale) as his faithful driver that has a bad rap in the racing scene but most importantly he can drive, and he can win. Starting out racing smaller circuits, Miles is afraid his racing career won't lead to success, and with a wife and a son, he is pressured to put down racing all together. This is until he is approached by Shelby about the plan Ford has to tarnish Ferrari's successful reputation in Le Mans.
Throughout the movie, Miles has a hostile relationship with Ford and its head executives. Lee Iacocca (Jon Bernthal) doesn't see Miles as being the face of Fords racing team. Miles and Shelby are constantly fighting with Henry Ford II and his team of executives to try to gain the freedom to create what they want. Shelby's outside the box thinking mixed with Miles' self centered attitude show how much they can influence a big brand, even if everyone is against them. Fords financial problems mixed with jabs taken at Henry Ford II by Enzo Ferrari encourages Ford to give Shelby the keys Fords new racing team.
Damon's cool southern composure and Bales witty thinking create a perfect chemistry that is hard to recreate. Although the team may fight, sometimes literally, they always seem to show respect and understanding for each other. Shelby, from the beginning, sees something in Miles and he can tell Miles will be the best driver for Ford. After getting the offer to race for Ford by Shelby, Miles quickly gets to work developing the famed GT40 race car, the only American made car to win the 24 Hours at Le Mans to this day.
Mangolds vision and execution in this movie perfectly encapsulates the golden age of racing. A time when teams did anything they could to win, when innovation was new and ideas were fresh. Everything from the sound design and visual effects to the pace of the movie flawlessly fuse together to keep you involved and interested. Everyone from gearheads that know every dimension of every part of the cars used in the movie, to those who have never thought to change their oil will be satisfied with this movie. Along with the cars, you also get to see relationships grow, watch hard times get resolved with hard work, and challenges get over come with persistence, making this a great all-around movie."
FORD V FERRARI,29 January 2020,10/10,I watch this only by seeing the title and did not exspect how good this movie is plus all the great actors. Ive seen it 4 time and its one of the movies I could rewatch over and over. Its also the untold story of ken miles. Plus at one time we owned a cobra mustang so my kids learned how ford and carol teamed up. Great job on this movie.
FORD V FERRARI,1 February 2020,8/10,A fascinating display of the biographies of car companies and famous drivers nice
FORD V FERRARI,2 February 2020,9/10,Fantastic movie! But I wonder what took it so long to make a film based on this true story? Thank you all who made this film!
FORD V FERRARI,10 February 2020,1/10,"I don't understand why this film is receiving so much recognition. It is a very bad movie with very mediocre acting (maybe even bad, cause too unrealistic and exaggerated), an unrealistic storyline, with dialogues that would never exist in the real world. I mean it's the classic american film that wants to glorify the american culture and all that. Maybe it was liked because of this. There are many stupid stereotypes too. This film don't deserve even a nomination at the oscars."
FORD V FERRARI,12 February 2020,9/10,It was really wonderful movie that you can go a fast journey with ford car with a goon driver. Let's go guys....
FORD V FERRARI,14 February 2020,10/10,"Didn't get to see this in the theatre... wish I had because even on my big screen tv...acting, action, special effects and storytelling was GREAT!"
FORD V FERRARI,17 February 2020,10/10,"One of the most beautiful movies i ever seen.
With so much exiting scenes"
FORD V FERRARI,28 February 2020,10/10,"Its been a while i did really enjoyed a movie.
I never expected such smooth story from this movie.I thought a casual movie turned out one of the best one i have watched in 2019.I didn't even knew the race existed before watching this movie .Totally awesome package."
FORD V FERRARI,1 March 2020,7/10,"A slick, thrilling look back at the golden age of auto racing. Ford v Ferrari is an old-fashioned film, not only due to the fact it takes place in the mid-60's but also in the way it is directed, the story being told, and the experience delivered in the theatre. The film is a tip of the hat to old-school movies about people with real-life problems. Well-directed, well-written, well-delivered."
FORD V FERRARI,1 January 2021,10/10,Those emotions when you are watching these racers coming against each other - that's one hell of a ride! Very talented work put by the team and congrats on making it happen!
FORD V FERRARI,23 March 2020,9/10,"Screenplay at best .
Actors have done amazing jobs !!"
FORD V FERRARI,17 August 2021,10/10,"The final of the movie is a little bit stupid, even tho, the same team the said ken miles, kept a ""several laps"" ahead of the rest, they couldnt get ken miles in the last lap, and cross the finish line all together, and magicly, miles loss the advantage..
Wtf?"
FORD V FERRARI,21 November 2019,9/10,"After what feels like an endless stream of appallingly made movies full to the brim of woke politicising, finally, finally a movie that just wants to tell a good story in a fluent and thrilling manner. Bale is absolutely perfect as Ken Miles, Damon less so as Carroll Shelby but still very decent. The racing scenes are totally engrossing, the settings are evocative and the film flies by despite coming in at more than 2:30hrs. Do yourself a favour and go see it."
FORD V FERRARI,2 April 2020,10/10,Love this movie . I regret not seeing it in the theaters !
FORD V FERRARI,28 June 2020,9/10,"First of all, I would like to say that I am not exactly a big fan of racing cars. For that same reason, it took me a while to see this film, despite all the great prizes and nominations it won. As I mentioned earlier, I was a little skeptical, but I can conclude that it really is an extraordinary film in all aspects. From the first to the last minute, I was completely glued to the development of the story. I also highlight Christian Bale and Matt Damon's excellent performances.
Anyway, I really recommend to everyone to see this masterpiece, I also confess that I became a big fan of car racing, especially the 24 Hours of Le Mans."
FORD V FERRARI,24 April 2020,9/10,"If you're not a car/racing nut, don't be put off by the title. Even though the storyline is about the real life battle between the two car giants, the best thing about this film is Damon's and Bale's on-screen friendship, the cherry on the cake being Christian Bales portrayal of Ken Miles. I couldn't stop watching this film and everytime I grinned from ear to ear. I'm glad I saved it for watching during the Covid lockdown."
FORD V FERRARI,13 May 2020,10/10,I gave 10/10 for CHRISTIAN BALE alone . The rest was like bonus to me. Go for it👍
FORD V FERRARI,4 September 2020,10/10,A true master piece of this day and age. Sound mixing was magic to my ears!
FORD V FERRARI,22 July 2020,10/10,"I highly recommend this movie to everyone, is one of the greatest movies I've seen in my life. Being a true story, and in some parts sentimental, makes it hard not to cry and feel a lot of emotions while watching it."
FORD V FERRARI,3 October 2020,9/10,"After watching this movie the only thing you wanna do is hold the clutch and press the accelerator off and kick 7000 RPM and shout at top of your voice... YES You go Girl!
It's a must watch movie if you want to feel the heat of Le Mans race 🏁 if you want to clap and dance for Christian Bale as Ken Mills ... If you want to see powerful acting of Matt Damon as Carrol Shelby.. If you love cars and see how powerful drivers and engineers struggle to bring such master piece up. Effortless acting by both the actors."
FORD V FERRARI,14 September 2020,1/10,"Name should have been ""Ford vs Shelby,"" or ""Ford Likes Money."" Movie had nothing to do with racing or Ferrari. Name Ferrari was just stuck in the title to dupe suckers to come to the theaters. If you like a movie like""Wall Street"" about corporate greed, larceny, and ego, this is your movie. If you like racing, go find copy of ""Grand Prix"" (James Garner) or ""Le Mans"" (Steve McQueen) and have an exciting enjoyable evening. Skip the Fast/Furious series. That's not racing. That's CGI. Saturday Morning Cartoons."
FORD V FERRARI,17 September 2020,9/10,"A real story based movie is always snatches my eyes. After a long time, a racing movie that's actually about racing. I felt race the whole two and half hours. A movie with bunch of talented actors. Christian Bale is an actor with versatility we all know, Matt Demon as well. Director James Mangold portray the movie with his own hand.
For an basic overview, this film recounts to the tale of how the Ford Motor Company was battling during the 1960s and hence went to hustling vehicles to give their images a lift. For quite a long time, Ferrari has been the best quality level in that theater. Yet, with Carroll Shelby (Matt Damon) directing the venture and the unpredictable Ken Miles (Christian Bale) steering the ship, they set out to bring down Ferrari at the 1966 24 Hours of Le Mans race.
The battle started when Ford went to buy most of the share of Ferrari as because of Ferrari was bankrupted. But Ferrari refused to sell their shares with them as they got more better offer from an another Company. After getting all the insult, Henry Ford the second decided to build the best racing car.
It's not just about the cars even the race or the business, that's why I liked this movie. With all the long racing scene it won't even bore you, I wasn't even know before about the rivalry between Ford and Ferrari back then but big bravo on the writer and director, the racing scenes had me sitting up on the edge of my seat! This movie manages to get the audience feel the excitement and thrill of racing.
I have to mention, this is a movie you can watch with your family, no doubt. Whether you're diving into the troubled life of an addict or exploring someone's sexuality, there are many touchy subjects these days.
Most of them complained about the movie time period. But I would like to say, you will never feel that you are waste your time. Each of the second, the director tried to utilize. Even if you aren't a huge fan of car racing films, this one contains more than enough entertainment to satisfy.
In the end, Ford v Ferrari is engaging and emotional movie. I would recommended to everyone to watch this movie. I guarantee you won't regret after watching it."
FORD V FERRARI,8 November 2020,10/10,Such a great movie of 2019. After watching this movie i started loving ford so much.
FORD V FERRARI,28 September 2020,8/10,It was amazing shows ever I show because it was very excited and have more fun
FORD V FERRARI,4 October 2020,10/10,"I watch a lot of movies it's a good way to pass time especially during the pandemic. This movie was on in the background wasn't planning on watching a movie that night. Started watching and I couldn't stop. I haven't seen a movie in years that has done that to me. It was extremely entertaining, well done, and thrilling. This movie made me feel emotions, no movie has done that to me since I was 5 years old watching the wild things, I loved it. I'm not even into cars, this was just a masterfully told story that I enjoyed every minute of."
FORD V FERRARI,20 October 2020,10/10,"Even if you know nothing about cars and racing and stuff you are still going to love this movie.The performance by Christian Bale was outstanding , should have received an oscar nomination in my opinion."
FORD V FERRARI,1 November 2020,10/10,"This movie is very right to see all
needed
There are also 10 ratings for this movie."
FORD V FERRARI,4 March 2021,9/10,"It has a good reputation,and I finally decided watching it
This film has everything to be a masterpiece"
FORD V FERRARI,25 November 2020,8/10,"Ford v Ferrari is the business competition film which is explained negative and positive sides between both. From the part of the film, Ford's technician left the screw behind Ferrari's technician, this scene showed how Ford is very foul, moreover Ford's technician is the one who stole watch from Ferrari's technician. It was a great movie you would not have any disappointment and you will see different sides between Ford and Ferrari, you should watch once in your life."
FORD V FERRARI,12 December 2020,8/10,Great overall film. Matt Damon and Christian Bale are amazing!
